"Name","Acronym","No. INSCRIP-TION","DATE DE RECONNAISSANCE","Contact person","Address","Website","Tel","Base country of org","Sector","Location","Ali's notes","NATIONALITE","No. DU MONITEUR","Notes"
"Association des Jeunes pour le Développement de l'Abeille et de …….","AJDELD",,,"---","---",,,"Haiti",,,,,,
"Association des Jeunes Etudiants de Zanglais Saint Louis du Sud","AJEZ",,,"Sevrain Wilfrid","---",,,"Haiti",,,,,,
"Asosyasyon Jèn Nogès","AJN",,,"Bien-aimé Evenson","---",,,"Haiti",,,,,,
"Association Jeunes Paysans Dessalines","AJPD",,,"---","---",,,"Haiti",,,,,,
"Association des Jeunes Réunis pour  le Développement","AJRD",,,"Jérome D. Richard","---",,,"Haiti",,,,,,
"Association des Jeunes de Sika","AJS",,,"Jean Dorlus Henris","---",,,"Haiti",,,,,,
"Apa Kongregasyon","AK",,,"Christian Germain","---",,,"Haiti",,,,,,
"Association des Leaders Evangéliques","ALEH",,,"Jean Baptiste Louise","---",,,"Haiti",,,,,,
"Amical des Anciens Compassion International","AMACI",,,"Toussaint Jeannot","---",,,"Haiti",,,,,,
"Association des Médecins pour l'Amélioration des soins de Santé en Haïti","AMASSH",,,"Elie Civil","---",,,"Haiti",,,,,,
"Association des …….. Collectives","AMC",,,,"---",,,"Haiti",,,,,,
"Alyans Militan Konseka","AMK",,,"Jeudy Smith","---",,,"Haiti",,,,,,
"Association des Paysans de la Cormillon Grand-Brois Dan","APCD",,,"Luc Sanon","---",,,"Haiti",,,,,,
"Association des Parents de l'Ecole Baptiste Pierre","APEBP",,,"Auguste Marcel","---",,,"Haiti",,,,,,
"Asosyasyon Peyizan Gangosye","APEGS",,,"Mède Augustin","---",,,"Haiti",,,,,,
"Association Pré-Coopérative des Jeunes de …..","APEL",,,"Clerna","---",,,"Haiti",,,,,,
"Association des Petits Entrepreneur de Port-au-Prince","APEP",,,"Guy Théodore","---",,,"Haiti",,,,,,
"Association  des photographes de Sud'Est","APHOSE",,,"---","---",,,"Haiti",,,,,,
"Action Protestante pour la Promotion Sociale","APPROS",,,"---","---",,,"Haiti",,,,,,
"Asosyasyon Pechè Rapatriye Karakol","APRK",,,"Raphaël Kens","---",,,"Haiti",,,,,,
"Association des Techniciens et Agents Vétérinaires de la Commune de Petit-Goâve","APTAVE",,,"Bonna Mieuseul","---",,,"Haiti",,,,,,
"Association des Résidents du Village du Thème de Perniers","ARVICHEP",,,"Hugues Hériveaux","---",,,"Haiti",,,,,,
"Association de Health et Développement pour le Bien-être des Populations","ASAD",,,"Dr. Annie Henry","---",,,"Haiti",,,,,,
"Association Mutuel de Décès","ASAMUD",,,"Wilires Adolphe","---",,,"Haiti",,,,,,
"Association d'Aide du Secours Démunis aux Nécessiteux","ASDAN",,,"Marlène Laguerre","---",,,"Haiti",,,,,,
"Association pour le Développement d'Haïti","ASPODHA",,,"Jean Jacques Claude","---",,,"Haiti",,,,,,
"Association pour la Promotion de la Médecine traditionnele","ASPROMET",,,"Anténor Guerrier","---",,,"Haiti",,,,,,
"Association Haïtienne pour un Développement Durable","ASSDHED",,,"Mathieu Lucius","---",,,"Haiti",,,,,,
"Association des Enseignants Chrétiens de Delmas","ASSENCHED",,,"Maurepas Faustère Boniface Massenat","---",,,"Haiti",,,,,,
"Aksyon Ti Moun La Ri de Mirebalais","ATLM",,,"Darius Ernsso","---",,,"Haiti",,,,,,
"Association de Travailleur Professeur Haïtien","ATPH",,,"---","---",,,"Haiti",,,,,,
"Associaiton Club Force Sacrée de Léogane","CFS",,,"Beken Saint Louis","---",,,"Haiti",,,,,,
"Association pour l'Epanouissement et le Développement Durable en Haïti","EDD",,,"Blaise Robelin","---",,,"Haiti",,,,,,
"Association Eco-Energie d'Haïti","EEH",,,"Sylvain Jn Carmel","---",,,"Haiti",,,,,,
"Foyer Ouvert des Gens Démunis de Fontamara","FOGEDGA",,,"Roger Zéphirin","---",,,"Haiti",,,,,,
"Fondation Pereiro","FP",,,"Fils Eusèbe","---",,,"Haiti",,,,,,
"Orphelinat Coeur de Jésus","OCJ",,,"Jean Fosy Josil","---",,,"Haiti",,,,,,
"Organisation pour le Développement Régional d'Anse Pins de Plaisance","ODRAP",,,"Yves Joseph","---",,"429-8514","Haiti",,,,,,
"Organisation Populaire pour l'Avancement de Milot ''Cap-haïtien""","OPAM",,,"Paul Jean Robert","---",,,"Haiti",,,,,,
"Association Citoyenne pour la Promotion Sociale des Déshérités","PACDA",,,"Rodney","---",,,"Haiti",,,,,,
"Union des Pasteurs pour la Propagation de l'Evangile","UPPL",,,"Me Marius","---",,,"Haiti",,,,,,
"Association pour le Développement et la Défense des Intérêts de Saint Louis du Sud","ADDISC",,,"Labasstille L. Jude","---",,,"Haiti",,,,,,
"Association Jeunes Révolution pour le Développement d'Haïto","AJNETREDH",,,"Luma Roselle","---",,,"Haiti",,,,,,
"Association des Anciens du Centre d'Etudes Secondaires","ACES",,,"---","---",,,"Haiti","Education",,,,,
"Asosyasyon Paran Elèv Lekòl Pepinière  Grand'anse Jérémie","ADEL/PEPINIERE",,,"Charles Kiboule","---",,,"Haiti","Education",,,,,
"Association des Etudiants de l'Université de Petit-Goave","AEUP",,,"Guytho Mathieu","---",,,"Haiti","Education",,,,,
"Asosyasyon Paran Elèv Lekòl Nasyonal Pl. Hinche","APE/ENL",,,"Profile Eclesiastre","---",,,"Haiti","Education",,,,,
"Association des Parents de l'ecole Baptiste Conservatrice","APEBC",,,"Alexis Cénatus","---",,,"Haiti","Education",,,,,
"Association des Parents de l'Ecole Communautaire","APECH",,,"Benjamin Blaimor","---",,,"Haiti","Education",,,,,
"Association des Parents de l'Ecole Communaire du Mariani","APECM",,,"Cetoute Oscar","---",,,"Haiti","Education",,,,,
"Association Prent de l'Ecole Communautaire Savanne Lonue?","APECSL",,,"Séant Luc","---",,,"Haiti","Education",,,,,
"Association des Parents de l'Ecole Communautaire des Treille2","APECT2",,,"Mondher Tracius","---",,,"Haiti","Education",,,,,
"Asosyasyon  Paran Elèv Destenvil","APED",,,"Merisia André Toussaint","---",,,"Haiti","Education",,,,,
"Asosyasyon Paran Elèv Elèn-Ezer","APEE",,,"Desroes Raymond","---",,,"Haiti","Education",,,,,
"Association parent Elèves de l'Ecole Maranatha (Grand-Anse Jérémie)","APEEM",,,"Délice Oriol","---",,,"Haiti","Education",,,,,
"Asosyasyon Paran Elèv Lekòl Nasyional Bokbanik ''Pl Hinche'' d'Hayiti","APEENL",,,"Faroutine Léopol","---",,,"Haiti","Education",,,,,
"Asosyasyon Paran Elèv Lekòl Nationale  Henri Christophe de Cerca-la-Source ''Pl. Hinche''","APEENMH",,,"Lereste Justine","---",,,"Haiti","Education",,,,,
"Asosyasyon Paran Elèv Lekòl St. François d'Assise Pl. Hinche","APEFA",,,"Mathé Raoul / François Noël / Fésius Simoly","---",,,"Haiti","Education",,,,,
"Asosyasyon Paran Elèv  Frè Unis","APEFU",,,"Pierre Louis","---",,,"Haiti","Education",,,,,
"Asosyasyon Paran Elèv Nasyonal Leson Grand'Anse  Jérémie","APEHL",,,"Emilien Norestil","---",,,"Haiti","Education",,,,,
"Asosyasyon Paran Elèv Lekòl Nationale  Getwo Jilyen","APELGJ",,,"Eril Bellevue","---",,,"Haiti","Education",,,,,
"Asosyasyon Paran Elèv Lekòl Nasyonal Banon","APELNB",,,"Leonce Baptiste","---",,,"Haiti","Education",,,,,
"Asosyasyon Paran Elèv Lekòl Nationale  Duquillon Grand'Anse Jérémie","APELND",,,"Joël François","---",,,"Haiti","Education",,,,,
"Asosyasyon Paran Elèv Lekòl Nationale  Jan Belin Grand'Anse Jérémie","APELNJB",,,"Cangas Léonel","---",,,"Haiti","Education",,,,,
"Asosyasyon Paran Elèv Lekòl Nationale  Michel Saltade ''Pl. Hinche''","APELSMS",,,"Occène Nicanord","---",,,"Haiti","Education",,,,,
"Asosyasyon Paran Elèv Lekòl Nationale Lefran","APEN/LEFRAN",,,"Plessy Ylics","---",,,"Haiti","Education",,,,,
"Aide Assistance aux Enfants Démunis","AAED",,,"Gabriel Cantave","---",,,"Haiti","Children & Youth",,,,,
"Action et Santé de Soutien aux Enfants","ASSE",,,"Jean Arnel Auguste","---",,,"Haiti","Children & Youth",,,,,
"Organisation Femme pour le Développement et Education des Enfants ……","OFEDEM",,,"Gabriel Caritas","---",,,"Haiti","Children & Youth",,,,,
"Association des Femmes pour Changer la Vie Biscaye/Charles","AFCV.BC",,,"Rose Dieula Fortuné","---",,,"Haiti","Women's Programs",,,,,
"Association des Femmes Gestionnaires de boutique de Nippes","AFGBN",,,"---","---",,,"Haiti","Women's Programs",,,,,
"Association des Femmes Main dans la Main de Derriè","AFMD",,,"Jeanne Saintelus","---",,,"Haiti","Women's Programs",,,,,
"Association Femme de Saint hélène","AFS",,,"Louise Hilaire","---",,,"Haiti","Women's Programs",,,,,
"Association des Femmes pour la Victoire de Danty","AFVD",,,"Elimène Nerlin","---",,,"Haiti","Women's Programs",,,,,
"Association des Femmes Vaillantes de Treille","AFVT",,,"Charlotin Ronal","---",,,"Haiti","Women's Programs",,,,,
"Asosyasyon Prekoperativ Fanm","APFK",,,"Alex Bèbè","---",,,"Haiti","Women's Programs",,,,,
"Association des Femmes Commerçantes de Beaumont","EFCOB",,,"---","---",,,"Haiti","Women's Programs",,,,,
"Association Coopérative des Femmes du Môle Saint Nicolas","ACOFEMS",,,"Jean René Saint Fleur","---",,,"Haiti","Women's Programss",,,,,
"Asosyasyon Kopérative Pechè Agrikiltè de Bodmè Janrabel","ACPABJ",,,"Gernau Vedrine","---",,,"Haiti","Agriculture",,,,,
"Asosyasyon Pechè Folibète","AFG",,,"Raoul Joazard","---",,,"Haiti","Agriculture",,,,,
"Association des Pêcheurs de Baradères","APB",,,"---","---",,,"Haiti","Agriculture",,,,,
"Associaiton des Pêcheurs Bellanger Malingue","APBM",,,"Jean Rodrigue Louis","---",,,"Haiti","Agriculture",,,,,
"Association des Pêcheurs de Cercacar","APCC",,,"---","---",,,"Haiti","Agriculture",,,,,
"Asosyasyon Pechè na Derak","APD",,,"Julius Difficile","---",,,"Haiti","Agriculture",,,,,
"Asosyasyon Pèche Chadonyè","APEC",,,"Vital Michel","---",,,"Haiti","Agriculture",,,,,
"Asosyasyon Pechè filibe","APF",,,"Mésidor Emile","---",,,"Haiti","Agriculture",,,,,
"Association des Pêcheurs de Jacmel","API",,,"Lambert Jeanty","---",,,"Haiti","Agriculture",,,,,
"Association des Pêcheurs de Jérémie","APJ",,,"Kesnel François","---",,,"Haiti","Agriculture",,,,,
"Asosyasyon Peche Kot Fè","APKF",,,"Ernst Leblanc","---",,,"Haiti","Agriculture",,,,,
"Associaiton des Pêcheurs de Petit Trou de Nippes","APP",,,"Sauveur Gaspard","---",,,"Haiti","Agriculture",,,,,
"Association des Pêcheurs pour la Protection de l'Environnement de l'Anse à Pitre","APPA",,,"Ernst Leblanc","---",,,"Haiti","Agriculture",,,,,
"Asosyasyon Pechè Pisi Kilti Pilat","APPP",,,"Avril Renel","---",,,"Haiti","Agriculture",,,,,
"Asosyasyon Pechè Wozo","APR",,,"---","---",,,"Haiti","Agriculture",,,,,
"Association des Pêcheurs de Roche à Bateau","APR",,,"Francklin Dorvilier","---",,,"Haiti","Agriculture",,,,,
"Association des Pêcheurs de Royol","APR",,,"Jephte Sylvestre","---",,,"Haiti","Agriculture",,,,,
"Association Pêcheurs de Saint Jean du Sud","APSS",,,"Seide Michelet","---",,,"Haiti","Agriculture",,,,,
"Association des Pêcheurs de Petite rivière de Nippes","APTN",,,"Willy Novembre","---",,,"Haiti","Agriculture",,,,,
"Association de Pêche de Zanglais","APZ",,,"Dorfeuille Gandhy","---",,,"Haiti","Agriculture",,,,,
"Association des Pêcheurs de Cognette","ASPEC",,,"Pascal Dolce","---",,,"Haiti","Agriculture",,,,,
"Association des Coopératives de Pêche","ACPC",,,"---","---",,,"Haiti",,,,,,
"Association Socio-cuturelle de bois Morquette","---------------",,,"Vanel Laurois","-------",,,"Haiti","Arts & Culture",,,,,
"Association Pechè Saint Jean du sud","APS",,,"Ene Elien","---------",,,"Haiti","Agriculture",,,,,
"Association Unité des Millitants de Grands Bois","AUMG",,,"-----------------------","--------------------",,,"Haiti","-------------------",,,,,
"Association Haiti Mission","HM",,,"Lesus Jn Claude","--------------------",,,"Haiti",,,,,,
"Organisation Haïtienne pour la Réhabilitation des Handicapés ","OHRHA",,,"Louis E. METAYER"," 1, Santo 9, Croix-des-Bouquets, Rte Ntle 3",,"238-3993","Haiti",,,,,,
"Foundation   For  Haiti     Forgotten Children ","FFHFC",,,"M. Nelson CAVALIER"," 2, Angle Rues Augustin & Cinéas, Morne Lazarre,            Pétion-Ville",,"257-5831","Haiti","Children & Youth",,,,,
"Fondation Martin Luther King ","FOMALUK",,,"Past. Siméon EGLOIRE"," 23, Rue Sambourg, Delmas 27",,"555-2922 ","Haiti"," ",,,,,
"Oxfam Québec","OQ",,,"Philippe MATHIEU"," 4, Rue Marcadieu, Bourdon",,"245-3271 ","Haiti","Human Rights",,,,,
"Oxfam Grande Bretagne ","OXFAM GB",,,"Yolette ETIENNE"," 4, Rue Marcadieu, Bourdon",,"245-9077 ","Haiti","Microfinance",,,,,
"Catholic Medical Mission Board","CMMB",,,"Diane S.Jean-François"," 6, Delmas 50",,"246-1964 ","Haiti","Health",,,,,
"Action Aid ","A.A",,,"Jean Claude FIGNOLE"," 6, Rue Marcadieu, Bourdon",,"2245-5227","Haiti","Education",,,,,
"Centre Hospitalier l'Eau de Vie","CHEV",,,"Mervin Sommers","'' Renouvellement""",,,"Haiti","Health",,,,,
"Enfants du Monde, Haïti","EDM, HAITI",,,"M. Maurice FOURON"," Rue Marcadieu, Bourdon",,"245-5227 ","Haiti","Health",,,,,
"Comité de Nettoyage pour l'Embellissement de bourdet","CNEB-SUD",,,"Dr Antony Denard","# 001, Bourdet / 1ere section communale des cayes",,"3703-0581","Haiti",,,,,,
"Projet d'Assistance Spirituelle et Socio-Culturelle du Sud","PASSCS-SUD",,,"Cadet Enock","# 0084 BLV 4 chemins/ Cayes",,"710-3010","Haiti","Arts & Culture",,,,,
"Organisation de Développement du Haut Bassin Caiman","ODHBC",,,"Jean Bernard Boursiqouot","# 02, Haut Bassin Caiman",,,"Haiti",,,,,,
"Organisation Chretienne pour le Developpement de l'Environnement et de la Communauté","OCDECC",,,"Josil Lynot","# 05, rue Marion/ Chadonnières",,,"Haiti",,,,,,
"Organisation des Jeunes de Bas Savanne-Longue pour le Progrès de Gros-Morne","OJBSPG",,,"Saintil Jean Ricot","# 1 Acul, Bas-Savane-Longue, Gros-Morne",,"725-6299","Haiti",,,,,,
"Foyer Communautaire de Formation et d'Actions Sociales","FOCAS",,,"Metelus Ketlin","# 1 imp Yves, rue St. Pierre Ave Mais Gaté",,"468-8551","Haiti",,,,,,
"Association Hope for Haiti/Association Espoir pour Haiti","AHFH",,,"Colin Islande Delva S.","# 1 Lilavois 4, Bon repos",,"512-4268","Haiti",,,,,,
"Organisation Professionelle pour l'Avancement et le Developpement des Jeunes de la Population","OPADJEP",,,"______________","# 1 rue Dessalines, Delmas 32, P-au-P",,"724-7624","Haiti",,,,,,
"Mouvement Progressiste des Citoyens en Action","MOPCA",,,"____________","# 1 rue Mariani ancien local abattoir",,"3402-0626","Haiti",,,,,,
"Groupe d'Action pour la Concorde et l'Encadrement des Enfants Demunis D'Haiti","GROCEEDH",,,"Juin Erick","# 1 rue Numa Rigaud 1er Imp Brustot #1",,"5563-9310","Haiti","Children & Youth",,,,,
"Don de Dieu Organisation","DODO",,,"Smith Bornave","# 1, 1ere ruelle Chatelain",,,"Haiti",,,,,,
