,,,,"name","acronym","no. inscription","date de reconnaissance","contact person","address","website","phone","base country","sector","location","alis notes","nationalite","no. du moniteur","notes"
107,,,,"Association Les Amis d'Haïti",,,18-Jul-1983,"Marc JAMIN","BP.858, P-au-P",,"245-5052",,"Agriculture ","Belle-Anse",,"French","# 72 13/11/83",
116,,,,"Association Paysans Réunis ","APR","B-0295",19-Mar-2002,"Jean Dieuseul LAGUERRE","No. 9, Grand-Rue,  Pte. Rivière de Nippes, Mon Repos 40, Rue Louverture, # 240, Carrefour",,"234-4435",,"Agriculture ","Anse-à-Veau",,"Haitian",,
131,,,,"Association Swiss pour le Développement et la Coopération ","HELVETAS","B-0171",28-Dec-1994,"Bernard ZAUGG","30, Impasse Larose et Rue Mercier-Laham, Delmas 60, Musseau",,"249-1193",,"Agriculture, Economic Development, ","Les Départements    (North - l'West)",,"Swiss",,
133,,,,"Associazione Volontari Per Il Servicio Internazionale","AVSI","B-0371",5-Jul-2005,"Fiammetta Cappelini FREDEICK","32, Rue Métellus, Pétion-Ville                     haiti@avsi.org                        haitisad@avsi.org",,"2257-2868",,"Agriculture, Economic Development, ","Torbeck",,"Italian",,
162,,,,"Bureau de Conseil et de Service Humanitaire ","BUCOSEH ","B-0297",19-Mar-2002,"Josué SAINT-JEAN","24, Imp. Chatelain",,"556-9568",,"Agriculture, Humanitarian Assistance, ","West: Delmas               North  : Cap-Haïtien",,"Haitian",,
170,,,,"Canadian Foundation For World Development/Reach Out To Haïti ","CFWD-HAITI",,11-Jun-1987,"Louise Griep","Saint-Marc, B.P 44",,,,"Agriculture, Health, Food Security","Saint-Marc ",,"Canadian",,
190,,,,"Centre Canadien d'Etudes et de Coopération Interna-tionale ","CECI",,25-Apr-1985,"Guypsy MICHEL","9, Rue Latortue, Musseau BP 16104, PV, Haiti                                     info@ceci-haiti.org",,"249-9578",,"Agriculture, Health, ","Saint Michel de l'Attalaye",,"Canadian","# 42   17/6/85",
192,,,,"Centre Chrétien de l'Enfant Haïtien","CCEH","B-0358",8-Sep-2004,"Rév. Luc EDMA","Delmas 65, Ruelle Jasmin-Henec # 21",,"249-8034",,"Agriculture ","Chapotin",,"Haitian",,
198,,,,"Centre d'Aide aux Enfants d'Haïti ","CAEH","B-0186",31-May-1995,"Gilles APOLLON","Ganthier (l'Ouest)",,"245-5543",,"Agriculture ","Ganthier",,,,
206,,,,"Centre de Développement d'Haïti ","CDH",,29-Sep-1987,,"6, Delmas 40 ",,"246-2846",,"Agriculture, Health, Education",,,"Haitian","# 33  18/4/88",
213,,,,"Centre de Reboisement et d'Assistance en Gestion du Sol","CRAGS","B-0356",6-Jul-2004,"Mme Carine HILAIRE","2, Angle rues des Nimes et Colins, Maïs Gaté",,"413-2662",,"Agriculture ","Plaine du Cul-de-Sac",,"Haitian",,
221,,,,"Centre de Techniques Agro-Energetiques","CTAE","B-0164",1-Oct-1993,"Lucien RIGAUD","Rue Rigaud, Morne Calvaire,        P-V",,"257-7441",,"Agriculture, Environment, ",,,"Haitian","14/2/94",
228,,,,"Centre d'Etudes et de Community Development ","CEDEC",,23-Nov-1987,"Léopold BERLANGER","Angle Lalue et Impasse Chatelain # 184, BP.13247",,"245-0221",,"Agriculture, Economic Development, ",,,"Haitian","# 14  12/2/88",
236,,,,"Centre Haïtien pour la Promotion de l'Agriculture et la Protection de l'Environment ","CEPAPE ",,15-Jun-1993,"Mme. Danielle MANGONES DEJEAN","14, 1ère impasse Lavaud, BP.2020,  P-au-P",,"245-1965",,"Agriculture ","Pilate",,"Haitian",,
237,,,,"Centre Haïtien pour le Développement Intégré ","CHDI","B-0279",5-Jun-2001,"M. Jean-Robert PROPHETE","75,  Chemin des Dalles",,"245-2893",,"Agriculture ","North-East: Fort-Liberté",,"Haitian",,
260,,,,"Christian Aid","CA","B-0390",28-Feb-2006,"Prospéry RAYMOND","32, Rue Jean-Baptiste, Canapé-Vert",,"245-2157",,"Agriculture, Education, Humanitarian Assistance","Port-au-Prince, La Gonâve, Petit-Goâve, Cayes",,"English",,
283,,,,"Collectif  Action Pour le Développement  ","CADEV","B-0350",15-Apr-2004,"Salnave SAINT-FORT, ","2ème Ruelle Lavaud # 1, Port-au-Prince",,"246-4038",,"Agriculture, Health, Education","Corail (grand’Anse)",,"Haitian",,
291,,,,"Comité d'Aide et de Développement de Dussaulier","CADD","B-0346",24-Nov-2003,"Raoul VINCENT","Blockhauss 1, St-Marc (derrière l'EDH), BP.026, St-Marc",,"279-1023",,"Agriculture, Education, Health","St-Marc",,"Haitian",,
295,,,,"Comité de Relèvement et de Coopération pour l'Avancement d'Haïti","CORCAH","B-0372",5-Jul-2005,"Vanel BEUNS","93, Rue de L'Enterrement, P-au-P",,"222-6890",,"Agriculture ","Anse d'Hainault",,"American",,
314,,,,"Concile des Eglises Evangéliques d'Haïti ","CEEH",,17-Nov-1983,"Corin CALIXTE","Route Nationale # 1, Cazeau,             BP. 2475, P-au-P",,"222-5351",,"Agriculture, Health, Water & Sanitation",,,,"# 71, 4/10/84",
325,,,,"Coopération pour le Développement Intégré et la Promotion Paysanne ","CODIPP",,30-Aug-1984,"Marie Rosalie Rosemée Auguste","113, Rue des Miracles, P-au-P",,"665-3393",,"Agriculture, Health, Education","Léogane",,"Haitian","# 71, 4/11/84",
333,,,,"Coordination Emmaus d'Haïti en Action ","CEHA","B-0316",10-Apr-2003,"Jean-Claude DORSAINVIL","Delmas 19, Imp. Sauge, rue Maranatha # 9",,"249-2440",,"Agriculture ",,,"Haitian",,
368,,,,"Ecole Technique Agricole de Dutruche ","ETAD",,23-Nov-1987,"Moraille STACO","13, Rue O, Turgeau,    P-au-P",,,,"Agriculture ",,,,"# 4, 14/01/88",
370,,,,"Eglise Chrétienne des Rachetés d'Haïti ","ECRH",,18-Jun-1985,"Etienne PROPHETE","4, Imp. Percier, Ruelle Moïse, Christ-roi",,"245-6387",,"Agriculture, Health, Education","West",,,"# 64, 12/10/85 ",
"x",,,"c","FAO ","FAO ",,,"FAO-HTI@field.fao.org, rfao@haitiworld.com ","Comunidad Jesuita 95","http://www.daifinnet.com/ ","2245-2899",,"Agriculture ","International ",,,,
401,,,,"Fédération Luthérienne Mondiale ","FLM","B-0221",18-Jan-1996,"Prakash RAJBANDARI","15, Rue Mangonès, Berthé, P-V",,"257-1685",,"Agriculture ","South'East (Thiotte)",,"Internationale",,
405,"q",,,"Feed The Children Europe / Children's Aid Direct","FTC","B-0230",4-Apr-1996,"Aliou KANE","Rue Sapotille, Imp. Ducarmel # 47,       P-au-P",,"245-4904",,"Agriculture ","Arrondissement de Port-Salut",,"English",,
407,,,,"Floresta  Ayiti Pou Pwoteksyon Anvironman                        ","FLORESTA","B-0353",26-May-2004,"Rév. Père Irnel Duveaux","Grand Goâve, 5ème Section Grande Colline, Chérident",,"512-6467",,"Agriculture ","Grand-Goâve",,"Haitian",,
428,,,,"Fondation Eben-Ezer","FEBE","B-0394",17-Jul-2006,"Rév. Jean Isaac JACQUET","105, Source Dommage, Jérémie",,"284-6684",,"Agriculture ","Grand'Anse       Dame Marie         Irois                   Anse d'Hainault Abricot           Bonbon          Jérémie            Moron       Chambellan",,"Haitian",,
429,,,,"Fondation Enfant Jesus ","FEJ","B-0441",9-Sep-2008,"Mme Rose Lucienne A. DUNCAN","9 bis, Rue Fernand de Beaudiere, Delmas 41                                               cejglg@yahoo.fr",,"2246-7747",,"Agriculture, Health, Education","Lamardelle",,"Haitian",,
442,,,,"Fondation Haitian de Secours Mutuel ","FHSM","B-0226",17-Jan-1996,"Fedna JEAN COLIGNON","Blvd. Harry Truman, Imp. Laperfection # 1",,"222-6843",,"Agriculture ","Les neuf (9) Départements",,"Haitian","# 55, 11/7/94",
471,,,,"Fondation Soleil Levé ","FSL","B-0318",22-May-2003,"Louis RISLER","8, Imp. Batichon, Rue Lamartine Prol., Christ-Roi",,"402-8812",,"Agriculture, Education, ","Pte. Rivière Artibonite",,"Haitian",,
491,,,,"Fonds pour le Développement Rural ","FONDEV",,4-May-1984,"Miot JEAN-FRANCOIS","7, Rue Babiole, P-au-P",,"245-5636",,"Agriculture ",,,"Haitian","# 71, 4/10/84 ",
497,,,,"Food For The Hungry International ","FHI",,19-Mar-1986,"Peggy WILSON         Vernon LIEBMAN","Thomassin # 40, Pétion-Ville",,,,"Agriculture, Humanitarian Assistance, ","West",,,,
,,,"x","Food For The Poor","FFP",,25-Apr-1986,"Raymonde PUN","6401 Lyons Road, Coconut Creek, Florida 33073","www.foodforthepoor.org","246-2346","USA","Agriculture, Education, Food Security",".West                     .North           .Grand'Anse   .Artibonite   .North'West        .South                      .Centre",,"Haitian","# 48,  16/6/86 ",
520,,,,"Friends of The Children of Lascahobas ","FCLH",,13-Apr-1989,"Estelle DUBUISSON","Hôpital de Lascahobas, Rue S. Vincent, B.P 538,   P-au-P",,"276-9369",,"Agriculture ","Lascahobas",,,"# 44,  31/4/89",
"x",,,,"GADRU",,,,"Jean-Marie Louis, SJ, Jerome Charles",,,,"Haiti","Agriculture ",,,,,
544,,,,"Groupe d'Action pour l'Habilitation Economique et Sociale de la Famille Haitian","GRAFHES","B-0376",5-Jul-2005,"Mimose F. DEREAUX","28, 2e Ruelle Jérémie",,"552-0583",,"Agriculture ","Port Salut",,"Haitian",,
549,,,,"Groupe de Projets pour Collaboration Technique de Développement ","PROTOS","B-0312",10-Feb-2003,"ANNE COUTTEEL","64, Pacot, BP.15101, P-V car.haiti@protos.be",,"245-4039",,"Agriculture, Water & Sanitation, ","Centre: Hinche, Lascahobas, Papaye                        North-West: Baie des Moustiques                  South: Bainet",,"Belgian",,
552,,,,"Groupe de Recherche et d'Appui en Milieu Rural ","GRAMIR","B-0260",6-Jun-1997,"Bernard ZAUGG","28, Rue Pacot, BP.13476, Delmas",,"245-1981",,"Agriculture ","Grand'Anse              South",,"Haitian",,
554,,,,"Groupe de Recherches Pour le Développement ","GRD",,25-Apr-1985,"Philippe MATHIEU","9, Rue Capois, Champs de Mars,         P-au-P",,,,"Agriculture ",,,,"# 44,  27/6/85",
556,,,,"Groupe d'Experts Conseil en Aménagements Hydro Agricoles ","GECAMH","B-0273",25-Sep-2000,"M. Montès CHARLES","23, Santo 11, Croix-des-Bouquets",,"238-3676",,"Agriculture ","Arcahaie, West",,"Haitian",,
557,,,,"Groupe d'Initiatives Pour un Developpement Durable","GID","B-0444",9-Sep-2008,"M. Leslie DAMISCAR","12, Rue Villemenay, Bois Verna,               P-au-P                                                           gidurable@yahoo.fr",,"3464-2021",,"Agriculture, Health, Education","Marche Canard (Mirebalais)",,"Haitian",,
595,,,,"Health Education Learning Ressources Project Inc ","HELP","B-0169",28-Dec-1994,"Michel H. BRUTUS","Vaudreuil, Route Malpasse entrée Latremblay # 5",,"255-9440",,"Agriculture ","Aquin",,"American",,
596,,,,"Heifer Project International Haïti","HPI-HAITI","B-0400",10-Jul-2006,"Marie Laura JEAN","226, Rte de Delmas (entre 17 et 19)",,"514-0918",,"Agriculture ","Limbé                     La Victoire           Cayes               Léogane              Jacmel              Anglais",,"American",,
"x",,,"c","Hillside Agricultural Program","HAP ",,,"info_hap@dai.com ","Bourdon Entrée Rue Marcadieu Port-au-Prince Haiti","http://www.haitihap.org/ ","2511-0397",,"Agriculture "," ",,,,
623,,,,"Institut Haïti de Développement Intégral","IHDI","B-0432",27-Feb-2008,"M. Frantz FLAMBERT","Immeuble La Perle, Rte de Tabarre, Clercine",,"2552-525",,"Agriculture ","Arcahaie (1ere Section Communale Boucassin, 2eme Fonds Baptiste, Courjolle, Torcelle)",,"Haitian",,
644,,,,"International Fellowship Haven Inc ","IFH",,9-Apr-1987,"Joseph MILLER          Joseph V. DATUS","Delmas 58-60, rue Raynaud # 6bis",,,,"Agriculture, Education, ",,,,"# 45,  4/6/87",
649,,,,"Intervention en Milieu Rural et Urbain ","IMRU","B-0254",4-Apr-1997,"Deyes De LA CRUZ","10 bis, Rue 3, P-au-P",,"222-1923",,"Agriculture ","Thomazeau",,"Haitian",,
669,,,,"Kombite Bienfaiteurs du Sud ","KBS","B-0181",20-Apr-1995,"Farnes RAYMOND","59, Rue des Césars, Port-au-Prince, Haïti",,"222-0685",,"Agriculture ","Département du South (Cayes)",,"Haitian",,
688,,,,"Les Ateliers Ecoles de Camp Perrin ","AECP","SS-001",10-Jun-2002,"M. Jean SPRUMONT                                   Sprumony Michèle PAUL","Levy-Camp-Perrin BP 14 les Cayes, 28 bis, rue Pacot",,"245-5096",,"Agriculture ","Camp-Perrin, Intervention ponctuelle ds  d'autre zones du pays",,"Haitian",,
702,,,,"Mackandal - Villages sans Frontières ","MVSH","B-0289",19-Mar-2002,"M. Jean Léon Auguste","11, rue des Miracles",,"245-0171",,"Agriculture ","Croix-des-Bouquets",,"Haitian",,
729,,,,"Mennonite Economic Development Associates  ","MEDA",,19-Jun-1986,"Henry HUNSE","226, Delmas,  BP.2160, P-au-P",,"246-3152",,"Agriculture ",,,"American","# 81,  6/10/86",
730,,,,"Mennonite Gospel Mission to Haiti","MGMH",,11-Feb-1988,"Lester MARTIN / Tavern MARTIN","Rte Ntle # 2, zone Berguin, Baraka, Miragoane, BP2171, P-au-P",,"404-5368",,"Agriculture, Education, Health","Nippes",,"American","# 13-A,  11/2/88",
746,,,,"Mission Baptiste Conservatrice d'Haïti ","MBCH",,30-Jun-1986,"Past. Rober BAKER","Fermathe, BP.673,  P-au-P",,"255-9807",,"Agriculture, Education, Health","Haïti",,"American","# 81,  6/10/86",
755,,,,"Mission Evangélique Melchissedeck ","MEM","B-0187",7-Jul-1995,"Rév. Apolos FONTUS","Liancourt (Artibonite)",,,,"Agriculture ","Artibonite (Liancourt)",,"Haitian",,
758,,,,"Mission Par La Foi ","MPLF","B-0259",6-Jun-1997,"Françoise  ENEY","9, Rue Verly, Delmas 31",,"246-5713",,"Agriculture, Health, Education","Grand'Anse",,"Haitian",,
772,,,,"Movimondo ","MOVIMONDO","B-0364",17-Nov-2004,"Argrnino FEDERICO","34, Rue Debussy, Turgeau",,"245-3547",,"Agriculture ","Commune de Carrefour (l'West)",,"Italian",,
788,,,,"Oeuvre Baptiste et Agence de Developpement ","OBADEV",,17-Nov-1988,"Appolon NOEL","Rue 13 M et N, Cap-Haïtien",,,,"Agriculture, Education, Humanitarian Assistance","North",,"Haitian",,
791,,,,"Oeuvres Evangéliques C. Celeste","OECC",,27-Apr-1987,"Jean B.D. CELESTIN","23ème section Morne à Chandèle, habitation ka Louissaint",,"246-0591",,"Agriculture, Education, Health",,,"Haitian","# 35, 27/4/87",
807,,,,"Operation Double Harvest ","ODH",,17-Nov-1983,"Louis Philippe MOYSE","Route Nationale # 1 Cazeau, BP.1268,   P-au-P",,"770-3937",,"Agriculture ","West",,"American","# 91,  29/12/83",
815,,,,"Organisation Agricole de Développement pour la Production des Paysans Haïtiens ","OADEPROPAH","B-0210",29-Nov-1995,"Jean-Claude DORSAINVIL","Delmas 19, 1ère rue Jeune # 65 bis",,"249-0775",,"Agriculture ","Gros-Morne",,"Haitian",,
,,,"x","Organization for the Rehabilitation of the Environment  ","ORE",,,"Sean Finnegan","3750 Main Highway, Miami, FL 33133","www.oreworld.org",,"USA","Agriculture, Food Security, Environmental",,,"USA",,"ORE is working to improve environmental, agricultural and economic conditions in rural Haiti. Working directly with farmers, they are able to provide practical solutions to deforestation and subsistence farming. The key goals of their development projects in Haiti are to increase farmer income, produce nutritionally enhanced food, and to improve the environment with commercial fruit trees."
,,,"x","Pan American Development Foundation ","PADF",,19-Jun-1989,"John CURRELLY","JBE Plaza, Boulevard du 15 Octobre, Belvil","www.padf.org","513-3029",,"Agriculture ",,,"American",,
878,"q",,,"Parole et Action ","P&A",,9-Aug-1988,"Andries L. de BLAEIJ","10, rue Acacia, Ave des Tourterelles, Rte Fragneauville, Delmas 75,  BP.13164, Delmas     paraction@haitiworld.com",,"246-2105",,"Agriculture, Humanitarian Assistance, ","West                              Artibonite              ",,"Haitian","# 82,   19/9/88",
"x",,,,"Peasant’s Movement of Papay","MPP",,,,,"www. GrassRootsonline.org",,"Haiti","Agriculture ",,,,,
889,,,,"Plan de Développement Intégré  ","PDI","B-0355",6-Jul-2004,"Rév. Frantz Grandoit","5, Rue Morely,  Christ-Roi",,"404-2865",,"Agriculture ","Artibonite                         West                          North’East                        South                              South’East",,"Haitian",,
,,,,"Planting Peace",,,,"lovinghaiti@yahoo.com","P.O. Box 221951, Hollywood, FL 33022","www.plantingpeace.org","954-394-4989","US","Agriculture, Health, Children & Youth",,,,,
898,,,,"Plateforme Agriculture","PAD-Haiti",,,,"Delmas 31, No. 27  Port-au-Prince","www.pad-haiti.org","2257-7544",,"Agriculture ",,,,,
905,,,,"Port-de-Paix Mennonite Mission ","PMM","B-0239",10-Apr-1996,"Rudolph SIMON","2, Rue W. Parisse, Port de Paix",,"268-5449",,"Agriculture ","North-East",,"American",,
930,,,,"Pwoje Espwa Sud","PES","B-0443",1-Sep-2008,"Rev. Pere Marc R. BOISVERT","254, Rue Capital, Village Caster-Pere, Cayes              dberthony@hotmail.com",,"2286-2170",,"Agriculture ","Plaine des Cayes",,"Haitian",,
938,,,,"Reboisement Total ","RETO",,2-Apr-1986,"Jean-Pierre De SAINT-CHRISTO","BP.13409, Delmas",,,,"Agriculture ",,,,"# 44,   2/6/86",
,,,,"SOIL (Sustainable Organic Integrated Livelihoods)","SOIL",,,"soil_info@yahoo.com",,"http://www.oursoil.org/",,,"Agriculture ",,,,,"SOIL is dedicated to protecting soil resources, empowering communities and transforming wastes into resources in Haiti. SOIL promotes integrated approaches to the problems of poverty, poor public health, agricultural productivity, and environmental destruction. "
1024,,,,"Solidarité Union Coopération ","SUCO","B-0315",10-Apr-2003,"Nicole GENEREUX","9, Imp. Demesvar, P-V",,"257-3441",,"Agriculture ","Pétion-Ville",,"Canadian",,
1028,,,,"Sonje Ayiti Organization","SAO","B-O450",29-Sep-2008,"Mme Marie Gabrielle VINCENT","37, Imp. Des Jeunes (Ave Daiblan), Babiole, Cap-Haitien info@sojehaiti.com",,,,"Agriculture ","Jean-Rabel Port-au-Prince Limonade (1ere, 2eme, 3eme Section Communale)",,"American",,
1059,,,,"United Methodist Committee On Relief","UNMCOR","B-0397",10-Jul-2006,"Patricia MAUGHAN","31, Rue Rébecca, Pétion-Ville",,"256-4157",,"Agriculture ","Artibonite Dondon     Ennery        Plaine du North Plaisance    Baron",,"American",,
1070,,,,"VETERIMED","VETERIMED","B-0220",14-Dec-1995,"Jean Luckner BONHEUR","196, Rue Pavée, Port-au-Prince, HAïTI",,"222-9360",,"Agriculture ","Haïti",,"Haitian",,
"x",,,"c","Veterimed ",,,,"veterimed@transnethaiti.com veterimed.pad@rehred-haiti.net ",,"http://www.unibankhaiti.com/ ","2222-9360",,"Agriculture "," ",,,,
1073,,,,"Vétérinaires Sans Frontières","VSF","B-0321",22-May-2003,"Cécile BERUT","14, Rue Wilson 2",,"405-3153",,"Agriculture, Economic Development, ","Port-au-Prince, Plateau Central",,"French",,
1076,,,,"Village Planète","VP","B-0379",16-Nov-2005,"M. Thomas Daniel WARREN / M. Obeï DOLCE","36, Rue du Fort, Fort Saint Michel, Cap-Haïtien",,"262-4214",,"Agriculture ","Baie de l'Acul du North",,"Haitian",,
1094,,,,"World Hunger Relief Inc ","WHRI",,19-Jul-1983,"Carl RYTHER","B.P 224 P-au-P",,,,"Agriculture, Education, ",,,"American","# 72, 13/10/83",
1095,,,,"World Neighbors/Vwazen Mondial Ayiti","WN/VMA","B-0269",24-Nov-1999,"M. Cantave JEAN-BAPTISTE","31, Rue Casseus Pacot, B.P 13170 Delmas",,"245-8613",,"Agriculture, Health, Food Security",". North                         . North-East                   . Artibonite                  . West",,"American",,
"x",,,," ITECA INSTITUT DE TECHNOLOGIE ET D'ANIMATION","IRATAM","-",,,,,,,"Arts & Culture ",,,,,
"x",,,"c","Agence Universitaire de la Francophonie","AUF ",,,"info@ht.auf.org ",,,"22454408",,"Arts & Culture ",,,,,
69,,,,"Art Creation Foundation for Children","ACFC",,,,,"www.artforhaitianchildren.org",,,"Arts & Culture, Children & Youth, ","Jacmel",,,,
"x",,,"c","Association Culturelle Haïtiano Dominicaine ","ASCUHADO ",,,,"Rue M # 6 Port-au-Prince Haiti ",,"2245-2005",,"Arts & Culture "," ",,,,
